Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank,Borough
2024,MN0402,Hell's Kitchen,664517.997109527,0.12,0.06,0.15,5.21731567740879,90.0,Manhattan
2024,QN0803,Fresh Meadows-Utopia,664869.790906638,0.14,0.04,0.16,4.60839409175935,142.0,Queens
2024,BK1502,Madison,675576.079961742,0.14,0.05,0.16,4.79518691549583,125.0,Brooklyn
2024,BX1102,Morris Park,683014.051486384,0.27,0.08,0.16,4.99739844519936,109.0,Bronx
2024,BK0401,Bushwick (West),691761.97229002,0.16,0.07,0.16,5.80784492777012,47.0,Brooklyn
2024,QN1003,Howard Beach-Lindenwood,692374.475526455,0.12,0.08,0.08,5.08618077322596,103.0,Queens
2024,SI0105,Westerleigh-Castleton Corners,692399.170715199,0.11,0.04,0.09,5.20485972805789,91.0,Staten Island
2024,BX1003,Pelham Bay-Country Club-City Island,692971.165112981,0.12,0.09,0.12,5.06043236731112,106.0,Bronx
2024,QN0702,Whitestone-Beechhurst,709043.631090701,0.11,0.09,0.12,5.14493387571453,98.0,Queens
2024,MN0303,East Village,716026.432623874,0.16,0.05,0.12,5.20030914879898,92.0,Manhattan
2024,BK1403,Midwood,721249.409398778,0.15,0.06,0.17,5.4249633088917,72.0,Brooklyn
2024,QN0501,Maspeth,734793.48130469,0.11,0.07,0.18,5.46451218073474,70.0,Queens
2024,BK0602,Park Slope,740192.556130812,0.09,0.06,0.1,5.17211413421088,97.0,Brooklyn
2024,BX0801,Kingsbridge Heights-Van Cortlandt Village,744389.842403519,0.12,0.1,0.18,5.55161088250319,63.0,Bronx
2024,MN1102,East Harlem (North),744816.688163371,0.25,0.09,0.12,6.3487512306959,21.0,Manhattan
2024,BK0701,Windsor Terrace-South Slope,751350.9887513,0.14,0.06,0.11,5.39727109200073,75.0,Brooklyn
2024,SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,760334.133115406,0.1,0.03,0.07,4.60045211174574,143.0,Staten Island
2024,MN0902,Manhattanville-West Harlem,780997.808910762,0.24,0.13,0.14,5.85939388160867,42.0,Manhattan
2024,BX0601,West Farms,782317.985548832,0.34,0.17,0.17,6.91599352618371,8.0,Bronx
2024,BK1201,Sunset Park (East)-Borough Park (West),801698.018132384,0.16,0.09,0.29,5.61129938813565,59.0,Brooklyn
2024,BX0903,Castle Hill-Unionport,808080.48663689,0.24,0.09,0.16,5.59680627184108,61.0,Bronx
2024,MN0302,Lower East Side,815348.163983347,0.23,0.05,0.13,5.75898527549391,52.0,Manhattan
2024,QN0707,Flushing-Willets Point,838123.721233447,0.16,0.07,0.37,5.8011183088144,48.0,Queens
2024,BX0603,Belmont,842295.798028741,0.34,0.15,0.22,6.59472000434676,14.0,Bronx
2024,BK0101,Greenpoint,846357.429014968,0.12,0.07,0.12,5.24287932147776,89.0,Brooklyn
2024,QN0103,Astoria (Central),855749.630526894,0.12,0.07,0.16,5.46989283759959,69.0,Queens
2024,QN0601,Rego Park,871464.777989125,0.17,0.05,0.2,4.93872103154343,116.0,Queens
2024,MN0803,Upper East Side-Yorkville,878285.155001042,0.1,0.05,0.12,4.86728852539781,123.0,Manhattan
2024,MN0502,Midtown-Times Square,896626.169174286,0.33,0.06,0.16,5.30692929164676,84.0,Manhattan
2024,BK1102,Bath Beach,897456.629518503,0.17,0.05,0.2,4.91013041588035,118.0,Brooklyn
2024,QN0804,Jamaica Estates-Holliswood,907124.257057071,0.22,0.08,0.18,5.84661882808475,43.0,Queens
2024,MN0702,Upper West Side (Central),914148.938238211,0.12,0.04,0.13,5.35372036834735,80.0,Manhattan
2024,MN0603,Murray Hill-Kips Bay,918267.096481123,0.11,0.03,0.14,5.17363096614514,96.0,Manhattan
2024,MN0903,Hamilton Heights-Sugar Hill,935549.106130261,0.18,0.08,0.18,5.76496891992459,51.0,Manhattan
2024,BX1101,Pelham Parkway-Van Nest,953650.982821824,0.2,0.1,0.17,5.91450655422108,38.0,Bronx
