year_pulled,congressional_district_name,state,fipscd,fips,hh_snap,hh_total,hh_snap_pct,hh_poverty_pct_in_snap,hh_race_aian_pct_in_snap,hh_race_asian_pct_in_snap,hh_race_black_pct_in_snap,hh_race_hisp_pct_in_snap,hh_race_nhpi_pct_in_snap,hh_race_other_pct_in_snap,hh_race_twoplus_pct_in_snap,hh_race_white_pct_in_snap,hh_60plus_pct,hh_snap_60plus,hh_snap_60plus_pct,hh_snap_children,hh_snap_children_pct,hh_snap_disabled,hh_snap_disabled_pct,hh_snap_poverty,hh_snap_poverty_pct,hh_snap_race_aian,hh_snap_race_aian_pct,hh_snap_race_asian,hh_snap_race_asian_pct,hh_snap_race_black,hh_snap_race_black_pct,hh_snap_race_hisp,hh_snap_race_hisp_pct,hh_snap_race_nhpi,hh_snap_race_nhpi_pct,hh_snap_race_other,hh_snap_race_other_pct,hh_snap_race_twoplus,hh_snap_race_twoplus_pct,hh_snap_race_white,hh_snap_race_white_pct,hh_total_60plus,hh_total_disabled,hh_total_disabled_pct,hh_total_poverty,hh_total_poverty_pct,hh_total_race_aian,hh_total_race_aian_pct,hh_total_race_asian,hh_total_race_asian_pct,hh_total_race_black,hh_total_race_black_pct,hh_total_race_hisp,hh_total_race_hisp_pct,hh_total_race_nhpi,hh_total_race_nhpi_pct,hh_total_race_other,hh_total_race_other_pct,hh_total_race_twoplus,hh_total_race_twoplus_pct,hh_total_race_white,hh_total_race_white_pct,medhhinc,state_hh_snap,state_hh_total,state_hh_snap_pct
2023,"Congressional District 35 (118th Congress), Texas",Texas,4835,48,42052,324719,0.1295,0.3823,0.1065,0.0625,0.1758,0.1692,NULL,0.1047,0.2034,0.0901,0.2757,14860,0.3534,22232,0.5287,21836,0.5193,19653,0.4673,459,0.0109,731,0.0174,7193,0.1711,24343,0.5789,NULL,NULL,3269,0.0777,16399,0.3900,14001,0.3329,89537,86752,0.2672,51408,0.1583,4308,0.0133,11702,0.0360,40925,0.1260,143880,0.4431,NULL,NULL,31211,0.0961,80632,0.2483,155391,0.4785,73349,1266469,11260645,0.1125
2023,"Congressional District 6 (118th Congress), Louisiana",Louisiana,2206,22,39280,303849,0.1293,0.3967,0.3384,0.1314,0.2445,0.1119,NULL,0.2196,0.0864,0.0913,0.3733,9588,0.2441,21943,0.5586,19096,0.4862,19312,0.4916,690,0.0176,892,0.0227,16104,0.4100,1885,0.0480,NULL,NULL,1321,0.0336,1591,0.0405,18682,0.4756,113422,89710,0.2952,48684,0.1602,2039,0.0067,6790,0.0223,65859,0.2167,16846,0.0554,NULL,NULL,6015,0.0198,18417,0.0606,204591,0.6733,71487,319717,1833915,0.1743
2023,"Congressional District 23 (118th Congress), Texas",Texas,4823,48,34380,266725,0.1289,0.4229,0.0960,0.0429,0.2212,0.1810,NULL,0.1501,0.1795,0.0877,0.3787,15015,0.4367,19455,0.5659,16631,0.4837,15528,0.4517,384,0.0112,330,0.0096,2074,0.0603,28072,0.8165,NULL,NULL,4891,0.1423,15494,0.4507,11071,0.3220,100998,82599,0.3097,36716,0.1377,3998,0.0150,7687,0.0288,9375,0.0351,155087,0.5814,NULL,NULL,32576,0.1221,86327,0.3237,126235,0.4733,74285,1266469,11260645,0.1125
2023,"Congressional District 36 (118th Congress), Texas",Texas,4836,48,37555,291473,0.1288,0.3924,NULL,0.0658,0.2813,0.1646,NULL,0.1919,0.1258,0.0924,0.3832,12086,0.3218,21971,0.5850,15256,0.4062,14131,0.3763,NULL,NULL,728,0.0194,9843,0.2621,12648,0.3368,NULL,NULL,5945,0.1583,5114,0.1362,15843,0.4219,111680,83400,0.2861,36013,0.1236,NULL,NULL,11064,0.0380,34991,0.1200,76823,0.2636,NULL,NULL,30978,0.1063,40642,0.1394,171551,0.5886,77440,1266469,11260645,0.1125
2023,"Congressional District 21 (118th Congress), New York",New York,3621,36,42889,334100,0.1284,0.4247,0.2150,0.0429,0.1780,0.1632,NULL,0.2436,0.1457,0.1259,0.4607,19619,0.4574,14189,0.3308,23408,0.5458,19156,0.4466,467,0.0109,129,0.0030,488,0.0114,1813,0.0423,NULL,NULL,944,0.0220,2213,0.0516,38648,0.9011,153906,95460,0.2857,45110,0.1350,2172,0.0065,3010,0.0090,2742,0.0082,11112,0.0333,NULL,NULL,3875,0.0116,15185,0.0455,307079,0.9191,70193,1267132,7809267,0.1623
2023,"Congressional District 12 (118th Congress), Ohio",Ohio,3912,39,38988,304104,0.1282,0.4869,NULL,0.1220,0.1041,0.1123,NULL,0.0172,0.2153,0.1266,0.4401,17231,0.4420,16150,0.4142,23368,0.5994,19011,0.4876,NULL,NULL,531,0.0136,1083,0.0278,514,0.0132,NULL,NULL,32,0.0008,2419,0.0620,34923,0.8957,133850,91154,0.2997,39044,0.1284,NULL,NULL,4352,0.0143,10399,0.0342,4575,0.0150,NULL,NULL,1859,0.0061,11237,0.0370,275808,0.9070,71217,611620,4917309,0.1244
2023,"Congressional District 10 (118th Congress), Ohio",Ohio,3910,39,43450,339246,0.1281,0.4413,NULL,0.0326,0.2997,0.1919,NULL,0.1490,0.1975,0.0869,0.4236,17275,0.3976,18592,0.4279,21668,0.4987,22266,0.5125,NULL,NULL,192,0.0044,16700,0.3843,1696,0.0390,NULL,NULL,650,0.0150,3871,0.0891,21993,0.5062,143689,97704,0.2880,50452,0.1487,NULL,NULL,5895,0.0174,55725,0.1643,8836,0.0260,NULL,NULL,4362,0.0129,19602,0.0578,252973,0.7457,64305,611620,4917309,0.1244
2023,"Congressional District 17 (118th Congress), Texas",Texas,4817,48,37844,296134,0.1278,0.3405,0.1101,0.0418,0.2570,0.1714,NULL,0.1554,0.1801,0.0869,0.3786,13347,0.3527,21348,0.5641,17221,0.4551,16536,0.4370,164,0.0043,348,0.0092,11490,0.3036,9524,0.2517,NULL,NULL,1834,0.0485,7809,0.2063,16199,0.4280,112113,93440,0.3155,48569,0.1640,1490,0.0050,8329,0.0281,44716,0.1510,55579,0.1877,NULL,NULL,11801,0.0399,43363,0.1464,186351,0.6293,66873,1266469,11260645,0.1125
2023,"Congressional District 13 (118th Congress), Georgia",Georgia,1313,13,35969,282731,0.1272,0.3811,0.1690,0.0446,0.1460,0.1578,NULL,0.1964,0.1298,0.0560,0.3597,12392,0.3445,18660,0.5188,14792,0.4112,11861,0.3298,194,0.0054,336,0.0093,27266,0.7580,4091,0.1137,NULL,NULL,2694,0.0749,2418,0.0672,3061,0.0851,101707,66121,0.2339,31119,0.1101,1148,0.0041,7531,0.0266,186777,0.6606,25932,0.0917,NULL,NULL,13718,0.0485,18633,0.0659,54696,0.1935,76312,513900,4150138,0.1238
2023,"Congressional District 3 (118th Congress), Connecticut",Connecticut,0903,09,37671,296504,0.1271,0.3875,0.2862,0.0865,0.2416,0.2481,NULL,0.2559,0.1574,0.0885,0.4518,18246,0.4844,13612,0.3613,16290,0.4324,12690,0.3369,257,0.0068,1209,0.0321,9758,0.2590,9814,0.2605,NULL,NULL,5576,0.1480,3139,0.0833,17651,0.4686,133947,68415,0.2307,32746,0.1104,898,0.0030,13983,0.0472,40397,0.1362,39561,0.1334,NULL,NULL,21792,0.0735,19941,0.0673,199412,0.6725,81637,172284,1442969,0.1194
