country,continent,life_expectancy,population,gdp,gdp_per_capita
Switzerland,Europe,79.99,7167908,246475684488,34386
Syria,Asia,73.316,15988534,62914881290,3935
Taiwan,Asia,76.02,22183000,521855075000,23525
Tajikistan,Asia,63.57,6172807,6178979807,1001
Tanzania,Africa,50.01,34038161,28115520986,826
Thailand,Asia,70.921,63155029,352278751762,5578
Timor-Leste,Asia,59.468,830089,2276934127,2743
Togo,Africa,53.585,4793504,4266218560,890
Tonga,Oceania,70.81,97935,478510410,4886
Trinidad and Tobago,N. America,68.533,1292058,13561440768,10496
Tunisia,Africa,73.159,9456117,51819521160,5480
Turkey,Asia,70.01,63627862,432860345186,6803
Turkmenistan,Asia,63.925,4501419,14805167091,3289
Uganda,Africa,48.126,24213120,21331758720,881
Ukraine,Europe,67.79,48891792,180899630400,3700
United Arab Emirates,Asia,74.163,3033491,91041131892,30012
United Kingdom,Europe,78.04,58874117,1686390207348,28644
United States,N. America,76.8,282496310,11231488292980,39758
Uruguay,S. America,74.777,3319066,30176948072,9092
Uzbekistan,Asia,66.999,24775610,40508122350,1635
Vanuatu,Oceania,67.438,185074,696248388,3762
Venezuela,S. America,72.432,24348304,229701899936,9434
Vietnam,Asia,73.777,78758010,124201381770,1577
West Bank and Gaza,Asia,70.929,3198560,24264276160,7586
"Yemen, Rep.",Asia,60.404,17723186,39292303362,2217
Zambia,Africa,41.802,10201562,10558616670,1035
Zimbabwe,Africa,43.976,12509477,9319560365,745
